coverages,resource_id,date_last_updated,bag_url,science_metadata_url,creator,resource_map_url,immutable,resource_title,shareable,discoverable,published,date_created,resource_url,public,resource_type
[],0359cab7d93f403ba6ee8726cff74f8a,12-05-2015,http://www.hydroshare.org/django_irods/download/bags/0359cab7d93f403ba6ee8726cff74f8a.zip,http://www.hydroshare.org/hsapi/resource/0359cab7d93f403ba6ee8726cff74f8a/scimeta/,Tomsen Reed,http://www.hydroshare.org/hsapi/resource/0359cab7d93f403ba6ee8726cff74f8a/map/,False,GIS in Water Resources Term Project 2015,True,True,False,09-24-2015,http://www.hydroshare.org/resource/0359cab7d93f403ba6ee8726cff74f8a/,True,GenericResource
[],040dfdc5e0684a40bd13c0259e971bb7,07-01-2015,http://www.hydroshare.org/django_irods/download/bags/040dfdc5e0684a40bd13c0259e971bb7.zip,http://www.hydroshare.org/hsapi/resource/040dfdc5e0684a40bd13c0259e971bb7/scimeta/,Alan Snow,http://www.hydroshare.org/hsapi/resource/040dfdc5e0684a40bd13c0259e971bb7/map/,False,NFIE Colorado Region,True,True,False,06-03-2015,http://www.hydroshare.org/resource/040dfdc5e0684a40bd13c0259e971bb7/,True,GenericResource
[],05a29e4ddffd42b88f482bd5be46e88d,08-28-2015,http://www.hydroshare.org/django_irods/download/bags/05a29e4ddffd42b88f482bd5be46e88d.zip,http://www.hydroshare.org/hsapi/resource/05a29e4ddffd42b88f482bd5be46e88d/scimeta/,Jiri Kadlec,http://www.hydroshare.org/hsapi/resource/05a29e4ddffd42b88f482bd5be46e88d/map/,False,Yellowstone Ground Snow Cover Validation,True,True,False,08-28-2015,http://www.hydroshare.org/resource/05a29e4ddffd42b88f482bd5be46e88d/,True,GenericResource
[],0b7dcbc238c947239a6f949abec869db,06-29-2015,http://www.hydroshare.org/django_irods/download/bags/0b7dcbc238c947239a6f949abec869db.zip,http://www.hydroshare.org/hsapi/resource/0b7dcbc238c947239a6f949abec869db/scimeta/,Alan Snow,http://www.hydroshare.org/hsapi/resource/0b7dcbc238c947239a6f949abec869db/map/,False,NFIE Mid-Atlantic Region,True,True,False,06-03-2015,http://www.hydroshare.org/resource/0b7dcbc238c947239a6f949abec869db/,True,GenericResource
[],0cb834d7635943e98d770e9df0c522fe,08-28-2015,http://www.hydroshare.org/django_irods/download/bags/0cb834d7635943e98d770e9df0c522fe.zip,http://www.hydroshare.org/hsapi/resource/0cb834d7635943e98d770e9df0c522fe/scimeta/,Solomon Vimal,http://www.hydroshare.org/hsapi/resource/0cb834d7635943e98d770e9df0c522fe/map/,False,FRIS Geodatabase Table for Tar River Basin,True,True,False,08-22-2015,http://www.hydroshare.org/resource/0cb834d7635943e98d770e9df0c522fe/,True,GenericResource
"[{u'type': u'box', u'value': {u'northlimit': 0.0, u'uplimit': None, u'projection': u'WGS 84 EPSG:4326', u'downlimit': None, u'zunits': None, u'units': u'Decimal degrees', u'southlimit': 0.0, u'westlimit': -180.0, u'eastlimit': 180.0, u'name': None}}]",0e62b639e17c40259fc969437f33f59b,06-02-2016,http://www.hydroshare.org/django_irods/download/bags/0e62b639e17c40259fc969437f33f59b.zip,http://www.hydroshare.org/hsapi/resource/0e62b639e17c40259fc969437f33f59b/scimeta/,Nazmus Sazib,http://www.hydroshare.org/hsapi/resource/0e62b639e17c40259fc969437f33f59b/map/,False,cliamte_model_sample,False,True,False,09-21-2015,http://www.hydroshare.org/resource/0e62b639e17c40259fc969437f33f59b/,True,NetcdfResource
[],126bb28f05224636a8bc8b3d1bdad6b5,08-31-2015,http://www.hydroshare.org/django_irods/download/bags/126bb28f05224636a8bc8b3d1bdad6b5.zip,http://www.hydroshare.org/hsapi/resource/126bb28f05224636a8bc8b3d1bdad6b5/scimeta/,Cassandra Fagan,http://www.hydroshare.org/hsapi/resource/126bb28f05224636a8bc8b3d1bdad6b5/map/,False,NFIE-Geo Mississippi Region,True,True,False,08-31-2015,http://www.hydroshare.org/resource/126bb28f05224636a8bc8b3d1bdad6b5/,True,GenericResource
[],17c732b4ec924f54ba73aa77497d8354,09-10-2015,http://www.hydroshare.org/django_irods/download/bags/17c732b4ec924f54ba73aa77497d8354.zip,http://www.hydroshare.org/hsapi/resource/17c732b4ec924f54ba73aa77497d8354/scimeta/,Harrison Holley,http://www.hydroshare.org/hsapi/resource/17c732b4ec924f54ba73aa77497d8354/map/,False,"Colorado River @ Lee's Ferry (Discharge, Water Temp, Precip) from 7/31/15 to 8/15/15",True,True,False,09-10-2015,http://www.hydroshare.org/resource/17c732b4ec924f54ba73aa77497d8354/,True,GenericResource
"[{u'type': u'point', u'value': {u'units': u'Decimal degrees', u'east': -111.946402, u'north': 41.718473, u'projection': u'Unknown'}}, {u'type': u'period', u'value': {u'start': u'2007-08-16 16:30:00', u'end': u'2009-01-16 12:30:00'}}]",1a25b11fa1354773b6edb9495e754f4e,08-21-2017,http://www.hydroshare.org/django_irods/download/bags/1a25b11fa1354773b6edb9495e754f4e.zip,http://www.hydroshare.org/hsapi/resource/1a25b11fa1354773b6edb9495e754f4e/scimeta/,Jeffery S. Horsburgh,http://www.hydroshare.org/hsapi/resource/1a25b11fa1354773b6edb9495e754f4e/map/,False,"Water Temperature in the Little Bear River at Mendon Road near Mendon, UT",True,True,False,06-06-2015,http://www.hydroshare.org/resource/1a25b11fa1354773b6edb9495e754f4e/,True,TimeSeriesResource
[],1c14485cf5f445f99564c847bf7b9cf5,08-31-2015,http://www.hydroshare.org/django_irods/download/bags/1c14485cf5f445f99564c847bf7b9cf5.zip,http://www.hydroshare.org/hsapi/resource/1c14485cf5f445f99564c847bf7b9cf5/scimeta/,Cassandra Fagan,http://www.hydroshare.org/hsapi/resource/1c14485cf5f445f99564c847bf7b9cf5/map/,False,NFIE-Geo South-Atlantic Gulf Region,True,True,False,08-31-2015,http://www.hydroshare.org/resource/1c14485cf5f445f99564c847bf7b9cf5/,True,GenericResource
